Text,Score
I love this product! It tastes amazing and arrived on time.,5
Terrible experience. The item was broken and customer service was rude.,1
Average quality. Not bad but not great either.,3
Excellent! Would definitely buy again.,5
Disappointed. Packaging was damaged and the product tasted old.,2
"The flavor is good, but it's too expensive for the quantity.",3
"Fast delivery, and the snacks were fresh. Very happy!",5
Not worth the money. Overpriced and underwhelming.,1
I expected better. It's okay for the price.,3
Perfect! Great value and delicious.,5
